person_name,screen_name,tweet,time_hour_of_day,hash_tags,media_info,freq,media_tweet_freq,total_tweet_by_user,percentage,hash_count,clean_tweet,sentiment,sentiment_score,compound_sentiment
jimmy fallon,jimmyfallon,"RT @edible: Man do we have a sweet deal for you! Courtesy of Brad Pitt &amp; @jimmyfallon, get 50% off all dipped fruit boxes $24.99+ using cod…",15,[],No picture / link,11,82,200,5.5,0,"RT @edible: Man do we have a sweet deal for you! Courtesy of Brad Pitt &amp; @jimmyfallon, get 50% off all dipped fruit boxes $24.99+ using cod…",Positive,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.6996}",0.6996
jimmy fallon,jimmyfallon,"(to tune of ""Sucker"")
""I carved a pumpkin for you. Removed his guts and now he is smiling.” #FallSongs",15,"[{'indices': [92, 102], 'text': 'FallSongs'}]",No picture / link,11,82,200,5.5,1,"(to tune of ""Sucker"")
""I carved a pumpkin for you. Removed his guts and now he is smiling.” #FallSongs",Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,It's Hashtags time! Tweet out a funny song lyric parody about the fall and tag it with #FallSongs. Could be on the show!,15,"[{'indices': [87, 97], 'text': 'FallSongs'}]",No picture / link,11,82,200,5.5,1,It's Hashtags time! Tweet out a funny song lyric parody about the fall and tag it with #FallSongs. Could be on the show!,Positive,"{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.5399}",0.5399
jimmy fallon,jimmyfallon,happy happy birthday to my favorite dance partner @madonna. Love ya pal.,15,[],No picture / link,11,82,200,5.5,0,happy happy birthday to my favorite dance partner @madonna. Love ya pal.,Positive,"{'neg': 0.0, 'neu': 0.354, 'pos': 0.646, 'compound': 0.9393}",0.9393
jimmy fallon,jimmyfallon,"Fun show tonight with a very special guest! Plus, @LilRel4 and a performance from @NatalieMerchant! #FallonTonight",15,"[{'indices': [100, 114], 'text': 'FallonTonight'}]",No picture / link,11,82,200,5.5,1,"Fun show tonight with a very special guest! Plus, @LilRel4 and a performance from @NatalieMerchant! #FallonTonight",Positive,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.7831}",0.7831
jimmy fallon,jimmyfallon,Tried to impress my wife by walking out of the ocean like Daniel Craig/James Bond. Got knocked over by a wave: ript… https://t.co/wfZnQSPojK,15,[],Has pictures / links ,11,118,200,5.5,0,Tried to impress my wife by walking out of the ocean like Daniel Craig/James Bond. Got knocked over by a wave: ript… https://t.co/wfZnQSPojK,Positive,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.6597}",0.6597
jimmy fallon,jimmyfallon,It’s Hashtags time! Tag a tweet with #BeachFail and then tell us about a funny or weird thing that happened to you… https://t.co/37o2ZSTpVg,15,"[{'indices': [37, 47], 'text': 'BeachFail'}]",Has pictures / links ,11,118,200,5.5,1,It’s Hashtags time! Tag a tweet with #BeachFail and then tell us about a funny or weird thing that happened to you… https://t.co/37o2ZSTpVg,Positive,"{'neg': 0.071, 'neu': 0.795, 'pos': 0.134, 'compound': 0.3595}",0.3595
jimmy fallon,jimmyfallon,There’s nothing better than vacation reading. https://t.co/eZYL6QrJ6s #ThisIsBaby #PuertoRico https://t.co/wUwyMQcMnA,16,"[{'indices': [70, 81], 'text': 'ThisIsBaby'}, {'indices': [82, 93], 'text': 'PuertoRico'}]",Has pictures / links ,13,118,200,6.5,2,There’s nothing better than vacation reading. https://t.co/eZYL6QrJ6s #ThisIsBaby #PuertoRico https://t.co/wUwyMQcMnA,Negative,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.3412}",-0.3412
jimmy fallon,jimmyfallon,Rutles forever. Love you bud! https://t.co/w6KoSIyfI1,16,[],Has pictures / links ,13,118,200,6.5,0,Rutles forever. Love you bud! https://t.co/w6KoSIyfI1,Positive,"{'neg': 0.0, 'neu': 0.527, 'pos': 0.473, 'compound': 0.6696}",0.6696
jimmy fallon,jimmyfallon,This Is Baby is out today!!!! Pick it up at your local bookstore or wherever you buy fun books. Thanks!… https://t.co/LZjg5ZqjYD,16,[],Has pictures / links ,13,118,200,6.5,0,This Is Baby is out today!!!! Pick it up at your local bookstore or wherever you buy fun books. Thanks!… https://t.co/LZjg5ZqjYD,Positive,"{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.6671}",0.6671
jimmy fallon,jimmyfallon,This Thursday night I will be signing books at @BNUnionSquareNY Barnes and Nobel Union Square. 7PM. Be there and be… https://t.co/Lv7gwjYNSR,16,[],Has pictures / links ,13,118,200,6.5,0,This Thursday night I will be signing books at @BNUnionSquareNY Barnes and Nobel Union Square. 7PM. Be there and be… https://t.co/Lv7gwjYNSR,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
